550 nm,562 nm,601 nm
0.376167181,0.147376421,0.020707014
0.372799347,0.153483818,0.024958084
0.361013014,0.165525992,0.032970507
0.347869996,0.179458742,0.042448644
0.336171938,0.191968275,0.050612284
0.319908531,0.20869437,0.061902912
0.303177416,0.22494179,0.072668135
0.290903628,0.240669787,0.083506167
0.276021011,0.257243164,0.094674594
0.258482755,0.275578321,0.107019247
0.242169931,0.290382459,0.116762235
0.23061369,0.303742867,0.12584446
0.221774431,0.313580843,0.132281633
0.215668149,0.32293696,0.138568349
0.208966158,0.326433084,0.140370272
0.20322265,0.335926908,0.147247689
0.196438533,0.343571407,0.152754527
0.192867208,0.349232602,0.156882215
0.192778649,0.354005398,0.160573544
0.190771869,0.35229092,0.15914183
